"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"black eyed susan",0,0,0,0,0
"black medic",0,0,0,0,0
"blue vervain",0,0,0,0,0
"bull thistle",0,0,0,0,0
"butterfly milkweed ramet",0,3,0,0,0
"canada thistle",0,0,0,0,0
"carolina horsenettle",0,0,0,0,0
"common dandelion",0,0,0,0,0
"common evening primrose",0,1,0,0,0
"common milkweed ramet",26,18,10,6,9
"common st johnswort",0,0,0,0,0
"crown vetch",0,0,0,0,0
"curly dock",0,0,0,0,0
"eastern daisy fleabane",0,0,0,0,0
"eastern purple coneflower",0,0,0,0,0
"frost aster",0,0,0,0,0
"groundcherry",0,1,2,1,0
"hedge bindweed",0,0,0,0,0
"hoary vervain",0,0,0,0,0
"illinois bundleflower",0,0,0,0,0
"ironweed",0,0,0,0,0
"new england aster",0,2,0,1,0
"ox eye sunflower",35,51,47,21,8
"partridge pea",0,0,0,0,0
"prairie blazing star",0,0,0,0,0
"purple prairie clover",0,0,0,0,0
"red clover",0,0,0,0,6
"sawtooth sunflower",0,0,0,2,0
"stiff goldenrod",5,0,0,0,6
"swamp milkweed ramet",0,0,0,0,0
"white heath aster",2,2,0,0,0
"white panicle aster",0,0,0,3,3
"white sweet clover",17,4,8,19,28
"white vervain",0,0,0,0,0
"wild bergamot",0,0,0,0,0
"wild lettuce",0,0,0,0,0
"wild parsnip",0,0,0,0,0
"yellow coneflower",58,84,153,101,98
"yellow sweet clover",0,0,0,0,0
