"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"black eyed susan",0,0,0,0,0,0,0,0,0,0
"black medic",0,0,0,0,0,0,0,0,0,0
"blue vervain",0,0,0,0,0,0,0,0,0,0
"bull thistle",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"canada thistle",0,0,2,1,0,2,0,6,3,0
"carolina horsenettle",0,0,0,0,0,0,0,0,0,0
"common dandelion",0,0,0,0,0,0,0,0,0,0
"common evening primrose",0,0,0,0,0,0,0,0,0,0
"common milkweed ramet",2,0,0,0,3,0,0,0,0,1
"common st johnswort",0,0,0,0,0,0,0,0,0,0
"crown vetch",0,0,0,0,0,0,0,0,0,0
"curly dock",0,0,0,0,0,0,0,0,0,0
"eastern daisy fleabane",0,0,0,0,0,0,0,0,0,0
"eastern purple coneflower",0,0,0,0,0,0,0,0,0,0
"frost aster",0,0,0,0,0,0,0,0,0,0
"groundcherry",0,0,0,0,0,0,0,0,0,0
"hedge bindweed",0,0,0,1,1,4,5,4,1,0
"hoary vervain",0,0,0,0,0,0,0,0,0,0
"illinois bundleflower",0,0,0,0,0,0,0,0,0,0
"ironweed",0,0,0,0,0,0,2,0,0,0
"new england aster",0,0,0,0,0,0,0,0,0,0
"ox eye sunflower",3,1,3,4,1,8,8,9,1,1
"partridge pea",0,0,0,0,0,0,0,0,0,0
"prairie blazing star",0,0,0,0,0,0,0,0,0,0
"purple prairie clover",0,0,0,0,0,0,0,0,0,0
"red clover",0,0,0,0,0,0,0,0,0,0
"sawtooth sunflower",0,0,0,0,0,0,0,0,0,0
"stiff goldenrod",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"white heath aster",0,0,0,0,0,0,0,0,0,0
"white panicle aster",0,0,0,0,0,0,0,0,0,0
"white sweet clover",0,0,0,0,0,0,0,0,0,0
"white vervain",0,0,0,0,0,0,0,0,0,0
"wild bergamot",1,0,4,3,0,3,0,3,0,0
"wild lettuce",0,0,0,0,0,0,0,0,0,0
"wild parsnip",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",19,0,49,22,43,86,33,0,0,0
"yellow sweet clover",0,0,0,0,0,0,0,0,0,0
